row,trilogy_flag,group,width,height,sha256,pixel_sha256,ink_pixels,canvas_ink_fraction,blank,bbox,bbox_width,bbox_height,bbox_ratio,bbox_ink_fraction,bbox_width_fraction,bbox_height_fraction,bbox_shape_sha256,components_raw,components_ge4px,component_areas,holes_raw,holes_ge4px,hole_areas,padding_left_fraction,padding_right_fraction,padding_top_fraction,padding_bottom_fraction,stroke_width_px_min,stroke_width_px_p10,stroke_width_px_p25,stroke_width_px_median,stroke_width_px_p75,stroke_width_px_p90,stroke_width_px_max,stroke_width_median_canvas_fraction,skeleton_pixels,qualified_orientation_samples,horizontal_skeleton_fraction,vertical_skeleton_fraction,diagonal_skeleton_fraction,orientation_histogram_15deg,horizontal_mirror_iou,vertical_mirror_iou,rotation_180_iou,threshold_96_160_ink_change_fraction,threshold96_components,threshold160_components,threshold96_holes,threshold160_holes,component_gap_center_distance_min_px,counter_width_median_px,stroke_width_p90_p10_ratio
114,N,new-only,128,128,77d54502465a5853687cf9ce2d3df74b0554e52b87faf97513d5f29c97081b67,f65498c9c85493059537062285ebb442500273b8c49cbc77a64ce8c5499d8ddc,4097,0.25006103515625,False,"[24,26,104,102]",80,76,1.0526315789473684,0.6738486842105263,0.625,0.59375,b72ed900325c221057567ba0edea02125c8fe25dbad351eb12764ffe8880d540,1,1,[4097],1,1,[1564],0.1875,0.1875,0.203125,0.203125,12.0,12.0,13.41641,16.12452,22.36068,28.0,28.0,0.12597277731716483,212,212,0.25471698113207547,0.2783018867924528,0.1320754716981132,"[42,9,7,10,15,19,50,17,7,7,12,17]",0.7937828371278459,0.9820996613449444,0.7937828371278459,0.014156700024408104,1,1,1,1,,26.49461050209224,2.3333333333333335
115,N,new-only,128,128,1de741e432a1131b27b911b442571f6f247dea62f5103906e4dd5c7dadda6ab3,b02c5d7274a04115422c121ee1c7bb67fbe8bc000f788ab2723625d8cca7dc9f,5003,0.30535888671875,False,"[19,18,109,110]",90,92,0.9782608695652174,0.6042270531400966,0.703125,0.71875,8517284a6575521c022c22e9a4a299c4fcf427c6877c406b17a4b74fa4a9b48d,2,2,"[3557,1446]",1,1,[1323],0.1484375,0.1484375,0.140625,0.140625,11.6619,12.0,12.64911,14.0,16.0,24.0,26.0,0.109375,299,299,0.3010033444816054,0.3010033444816054,0.10702341137123746,"[86,18,12,12,19,34,68,15,6,10,5,14]",0.41527581329561525,0.5556592039800995,0.4543604651162791,0.03218069158504897,2,2,1,1,2.0,23.704699910719626,2.0
116,N,new-only,128,128,a099a8e261de47ef60f1a1a6900ee543ed5e52ab1bde0bd626d9d5d79933a7a6,c8854f565de8c4de77ae7858732707b2cf30fed0b692325c4e546af8553560fd,3944,0.24072265625,False,"[24,26,104,102]",80,76,1.0526315789473684,0.6486842105263158,0.625,0.59375,8594792601c61c9177be35f60ef8cc071fa95b4dafeacd7501bfbd8e56686d97,1,1,[3944],0,0,[],0.1875,0.1875,0.203125,0.203125,12.0,14.0,16.0,18.0,24.73863,28.0,28.0,0.140625,170,170,0.16470588235294117,0.3,0.17647058823529413,"[29,2,6,11,11,18,44,15,10,7,10,7]",0.7694033198743832,0.8638941398865785,0.7066205106014712,0.03194726166328601,1,1,0,0,,,2.0
117,N,new-only,128,128,99e0a4478f3b3ebd33d1c2b95ac49c7138eb09cfdaf47f99a2a02841a9d2ef8d,0de58a1b804baada8627f6c99a1096d5120bbbb5192ac183cf72c98a35b0fecd,4388,0.267822265625,False,"[20,26,108,102]",88,76,1.1578947368421053,0.6561004784688995,0.6875,0.59375,528ab611523a0a136bbcc3a1894bc1ac041fcdd7261e88d001e66d3fa903b719,1,1,[4388],0,0,[],0.15625,0.15625,0.203125,0.203125,12.0,15.23155,16.0,17.20465,20.88061,22.02722,25.05993,0.13441133229754104,218,214,0.17757009345794392,0.37383177570093457,0.1308411214953271,"[29,9,7,10,11,26,66,14,10,9,6,17]",0.7851912123677787,0.7067288992609879,0.6621212121212121,0.03441203281677302,1,1,0,0,,,1.4461574823310825
118,N,new-only,128,128,f695c79fb5e10a448cceb680b86ebf5edcfbe4efa5674a32bdc207b474d50c77,9bcf6350cdfc096f918625fd543d849e39fd369ee2482df3cceb13d9e07c10ae,3944,0.24072265625,False,"[24,26,104,102]",80,76,1.0526315789473684,0.6486842105263158,0.625,0.59375,34a764a174c8c663133be671d047f249876fbad44b5cd5e812a5c91249e60cff,1,1,[3944],0,0,[],0.1875,0.1875,0.203125,0.203125,13.41641,14.0,15.6205,18.0,24.73863,28.0,28.0,0.140625,169,169,0.15976331360946747,0.30177514792899407,0.17159763313609466,"[20,9,9,8,14,15,47,14,9,7,5,12]",0.7694033198743832,0.8638941398865785,0.7066205106014712,0.03194726166328601,1,1,0,0,,,2.0
119,N,new-only,128,128,a1ef106e285397a8af7f05b6b757a85da994d240b6eef3fa013dacf5b721624d,92f52d2b67edbb3cc4eb24151df1bf67fb0d4d9e786eb0d46e4128ad79acf09a,4575,0.27923583984375,False,"[22,26,106,120]",84,94,0.8936170212765957,0.5794072948328267,0.65625,0.734375,86a5df3b6d468ecd32e14398256de55dfdbe4d4e12579107152f5fddf20bdf22,1,1,[4575],1,1,[51],0.171875,0.171875,0.203125,0.0625,8.0,10.0,14.0,18.0,22.0,28.0,29.52965,0.140625,247,237,0.16455696202531644,0.3881856540084388,0.11814345991561181,"[36,12,11,12,19,16,86,9,3,7,10,16]",0.45933014354066987,0.5184201792233654,0.4072593048292833,0.03344262295081967,1,1,1,1,,4.0,2.8
120,N,new-only,128,128,edfcd269bfab4ac8857f3256bd02a7a96b42f0d39a8664b8be55fef8daf2d0c5,501879c8e17ad07dc8a589f0179ad3c31547aaeb0ef5d936d5815a3569d6435c,3121,0.19049072265625,False,"[32,17,96,111]",64,94,0.6808510638297872,0.518783244680851,0.5,0.734375,8b388b72fa5610d8c4ce28ad199acdcd90d262381db3360c714386508e8d74b2,1,1,[3121],1,1,[130],0.25,0.25,0.1328125,0.1328125,10.0,12.0,14.0,14.0,15.71537,16.49242,21.26029,0.109375,224,211,0.2843601895734597,0.33649289099526064,0.10426540284360189,"[59,12,6,8,10,28,59,7,6,5,4,7]",0.3400601116358952,0.2833059210526316,0.40269662921348315,0.02819609099647549,1,1,1,1,,10.0,1.3743683333333332
121,N,new-only,128,128,711ff1f8f3169c204240d87c9634ac1aae65663f2fdc0eb81e0f96341112d7ef,63df22f09c56a79cd8726833fac72a2d3484a17ea6cb412c980785cafb4835e9,3912,0.23876953125,False,"[22,17,106,111]",84,94,0.8936170212765957,0.49544072948328266,0.65625,0.734375,129492a5d0418393965e95405d5fa13aea15b977cec457e49e8ac3f891c4cc2a,1,1,[3912],3,3,"[340,212,160]",0.171875,0.171875,0.1328125,0.1328125,10.0,12.0,14.0,14.0,16.0,17.88854,18.43909,0.109375,293,272,0.27205882352941174,0.29411764705882354,0.11397058823529412,"[59,17,6,5,5,17,75,14,10,14,18,32]",0.243879173290938,0.2656098350048528,0.5767835550181378,0.020961145194274028,1,1,3,3,,14.0,1.4907116666666667
122,N,new-only,128,128,d6ae82c40d207a96a484e1ae92df34053c465cf281e572323900ecbe0b5e87d9,1de5c9bfde3f939c54f03d52b35606ef3e61292a012a9d5cc90871636997c407,3323,0.20281982421875,False,"[32,16,96,112]",64,96,0.6666666666666666,0.5408528645833334,0.5,0.75,4464ebf7fcec30588f3f0660fae793735603234c8d6421cbad1fc8de3883faf1,1,1,[3323],0,0,[],0.25,0.25,0.125,0.125,4.0,12.0,14.0,14.14214,16.12452,20.0,23.4094,0.11048543456039805,229,220,0.22272727272727272,0.2636363636363636,0.15,"[51,9,6,6,6,24,54,9,15,21,12,7]",0.40448013524936605,0.39446076374318084,0.31812772709242365,0.02317183268131207,1,1,0,0,,,1.6666666666666667
123,N,new-only,128,128,b4ea72c92e1598a0223856772349c532fa5d4a6ed13ca9db02988a6ec944aa02,82c69120e63fa86a1502eb50f4e24047cfdb711f4624bac6e2f5b8d8dc41f157,5155,0.31463623046875,False,"[20,18,108,110]",88,92,0.9565217391304348,0.6367341897233202,0.6875,0.71875,2d10793c003f3d127b78d4247ceac35ffc63666631bfa291f5ef3aa805348703,2,2,"[3066,2089]",0,0,[],0.15625,0.15625,0.140625,0.140625,6.0,10.77033,12.0,13.41641,16.0,22.0,22.0,0.10481568644530265,339,339,0.10619469026548672,0.5103244837758112,0.12684365781710916,"[26,12,12,6,13,10,179,21,15,16,12,17]",0.428373510667775,0.6929392446633826,0.4796211251435132,0.038797284190106696,2,2,0,0,9.0,,2.0426486467916956
